"Metrics","Variables","Interaction","Intercept_grouping","Wifull","CWI_Global","Model_Approved","Floor_Sig","Wi_Floor","CWI_Floor","Median_Sig","Wi_Median","CWI_Median","Ceiling_Sig","Wi_Ceiling","CWI_Ceiling","CV_Uncertainty","Formula"
"Lumbricidae","log10(DEPTH)","(log10(DEPTH)):GROUP","no",0.551835832521301,0.545049168731022,"NO","NO",1.88738689759388e-09,1.86417517490161e-09,"NO",0.999999962996374,0.987701625086457,"NO",1,0.987701661635,0.0122983383650004,"VAR ~ 1 + log10(DEPTH) + (log10(DEPTH)):GROUP"
"Lumbriculidae","","","no_group",0.5,0.494778408347736,"NO","NO",0.5,0.494778408347736,"NO",0.5,0.494778408347736,"NO",0.5,0.494778408347736,0.010443183304528,"VAR ~ 1 + SUB"
"Lymnaeidae","","","no_sub",0.5,0.484451106650289,"NO","NO",0.5,0.484451106650289,"NO",0.5,0.484451106650289,"NO",0.5,0.484451106650289,0.0310977866994225,"VAR ~ 1 + GROUP"
"Melanopsidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesoveliidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naididae","","","no_sub",0.5,0.494464828106663,"NO","NO",0.5,0.494464828106663,"NO",0.5,0.494464828106663,"NO",0.5,0.494464828106663,0.011070343786674,"VAR ~ 1 + GROUP"
"Nemouridae","VEL","(VEL):GROUP","no_sub",0.670783025994679,0.647230412460193,"NO","NO",7.61243479331631e-09,7.34514607580951e-09,"NO",0.999999999996356,0.964887880843558,"NO",1,0.964887880847073,0.0351121191529267,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Nepidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neritidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontoceridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oligoneuriidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pediciidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perlidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perlodidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philopotamidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phryganeidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Physidae","","","no",0.5,0.494310038528747,"NO","NO",0.5,0.494310038528747,"NO",0.5,0.494310038528747,"NO",0.5,0.494310038528747,0.0113799229425055,"VAR ~ 1"
"Piscicolidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Planariidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Planorbidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Platycnemididae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polycentropodidae","log10(DEPTH)","(log10(DEPTH)):GROUP","no_sub",0.530094674151023,0.505542686867074,"NO","NO",1,0.953683769180911,"NO",0.840802064270298,0.801859281788388,"NO",1,0.953683769180911,0.046316230819089,"VAR ~ 1 + log10(DEPTH) + (log10(DEPTH)):GROUP + GROUP"
"Potamanthidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prosopistomatidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psephenidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psychodidae","","","no_sub",0.5,0.48865643251939,"NO","NO",0.5,0.48865643251939,"NO",0.5,0.48865643251939,"NO",0.5,0.48865643251939,0.0226871349612193,"VAR ~ 1 + GROUP"
"Psychomyiidae","DEPTH","(DEPTH):GROUP","no_sub",0.755950505485684,0.714792745236342,"NO","NO",1.8048497422202e-12,1.7065846144938e-12,"NO",0.999999999841989,0.945554953580137,"NO",1,0.945554953729545,0.0544450462704548,"VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP"
"Ptilocolepidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pyralidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhagionidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhyacophilidae","VEL","(VEL):GROUP","no_sub",0.767496101647334,0.695720621642282,"NO","NO",1.27033601160924e-05,1.15153543815323e-05,"NO",1,0.906480984266898,"NO",1,0.906480984266898,0.0935190157331018,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Sciomyzidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scirtidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sericostomatidae","","","no",0.5,0.482955507299408,"NO","NO",0.5,0.482955507299408,"NO",0.5,0.482955507299408,"NO",0.5,0.482955507299408,0.0340889854011838,"VAR ~ 1"
"Sialidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
